CodigoNave,NombreNave
KOLAM,KOTA LAMBAI
KOLAY,KOTA LAYANG
KOLE,KOTA LEKAS
KOSAR,KOTA LANGSAR
KOTLEG,KOTA LEGIT
KOTLOC,KOTA LOCENG
LAEME,LA BOHEME
LEETO,LETO
LIADO,LIBRA CORCOVADO
LIESS,LIVERPOOL EXPRESS
LIILE,LIBRA CHILE
LIMR,LIMARI
LINIA,LIBRA PATAGONIA
LIOR,LIBRA ECUADOR
LIRIO,LIBRA RIO
LIROI,LIBRA NITEROI
LISB,MSC LISBON
LITOS,LIBRA SANTOS
LOAVI,LONGAVI
LODGE,LOS ANDES BRIDGE
LTCA,LT AFRICA
LTOPA,LT EUROPA
LUAHE,LUOBAHE
LUHE,LUO BA HE
LUTIA,LUTETIA
LYCER,LYKES RACER
MAADT,MAERSK DARMASTADT
MAAKA,MAERSK DHAKA
MAAM,MAERSK ROTTERDAM
MAANA,MARUBA PARANA
MAARA,MAERSK NIAGARA
MAAXI,MARUBA COTOPAXI
MACCA,MAERSK MALACCA
MACHO,MAPOCHO
MACON,MARCON
MADAH,MAERSK JEDDAH
MADER,MARUBA TRADER
MADGE,MACKINAC BRIDGE
MAELA,MANUELA
MAEMA,MAERSK DIADEMA
MAEN,MAERSK DRAMMEN
MAERO,MARUBA PAMPERO
MAERS,MAI RICKMERS
MAES,MAERSK STEPNICA
MAESAR,MAERSK SARNIA
MAESS,MAYA PRINCESS
MAEZA,MAERSK FORTALEZA
MAGAL,MAERSK DONEGAL
MAGOR,MAERSK BOGOR
MAGUA,MARUBA ACONCAGUA
MAHOD,MAERSK VOSHOD
MAHON,MAERSK MARATHON
MAHUE,MARUBA PETROHUE
MAINE,MADELEINE
MAIRA,MAIRA
MAISE,MARUBA ENTERPRISE
MAISO,MAERSK VALPARAISO
MAITO,MATAQUITO
MAIUM,MARE PHOENICIUM
MAIUS,MAERSK VILNIUS
MAJAI,MAERSK ITAJAI
MALAS,MAERSK DALLAS
MALIN,MAERSK DUBLIN
MAMBI,MAERSK JAMBI
MANA,MAERSK RAVENA
MANDA,MARUBA ZONDA
MANGO,MARUBA TANGO
MANHA,MANHATTAN
MANIA,MARCAMPANIA
MANOS,MAERSK MYKONOS
MAO A,MARIO A
MAOGI,MAERSK MESSOLOGI
MAONG,MAERSK HONG KONG
MAONS,MARUBA SIMMONS
MAOPA,MARUBA EUROPA
MAORT,MAERSK WEESTPORT
MAORY,MARUBA VICTORY
MAPPE,MAERSK DIEPPE
MAPUR,MAERSK JAIPUR
MARAN,MARUBA HUASCARAN
MARES,MAERSK DOLORES
MAROY,MARUBA FITZ ROY
MARTA,MAERSK JAKARTA
MARY,MARY VOYAGE
MARYA,MAERSK DANBURYA
MASE,MAERSK SERANGOON
MASEM,MAERSK SEMAKAU
MASIA,MARUBA ASIA
MATER,MAERSK GLOUCESTER
MATON,MAERSK MONCTON
MATOR,MARUBA IMPERATOR
MAURY,MAERSK DRURY
MAUTH,MAERSK FALMOUTH
MAYS,MAERSK DELLYS
MBIL,MSC BILBAO
MEBAY,MERKUR BAY
MEEDA,MEREDA
MENIA,MERCAMPANIA
MERBE,MERKUR BEACH
MNLOA,LOA
MOACY,MOL SUPREMACY
MOARO,MONTE TAMARO
MODOM,MOL WISDOM
MOEAM,MOL DREAM
MOENT,MOL ENDOWMENT
MOERY,MOL BRAVERY
MOEUR,MOL GRANDEUR
MOEZE,MOL SEABREEZE
MOGEN,MOL GENESIS
MOGER,MOL NIGER
MOGRE,MONTE ALEGRE
MOGUA,MONTE ACONCAGUA
