CodigoNave,Viaje,CodigoPaisCarga,CodigoPuertoCarga,CodigoPaisDesCarga,CodigoPuertoDesCarga,fechaSalida,fechaLlegada
APLSHA,44,PA,MANO,PA,BLBA,2023-07-02,2023-07-04
APLSHA,45,PA,BLBA,PE,CLLO,2023-08-15,2023-08-21
APLSHA,45,PE,CLLO,CL,VARO,2023-08-21,2023-08-25
APLSHA,45,US,PERS,PA,BLBA,2023-08-07,2023-08-14
APLSHA,45,CO,BVEA,PE,CLLO,2023-07-15,2023-07-19
APLSHA,45,PE,CLLO,CO,BVEA,2023-07-20,2023-07-24
APLSHA,46,PA,BLBA,PE,CLLO,2023-08-24,2023-08-29
APLSHA,46,PE,CLLO,PA,BLBA,2023-08-30,2023-09-04
APLSHA,46,CL,VARO,PE,CLLO,2023-09-28,2023-10-02
APLSHA,46,PE,CLLO,CL,VARO,2023-10-02,2023-10-06
APLSHA,46,PA,BLBA,PE,CLLO,2023-09-26,2023-10-02
APLSHA,46,PA,MANO,PA,BLBA,2023-09-24,2023-09-26
APLSHA,46,US,MMIL,PA,MANO,2023-09-18,2023-09-23
APLSHA,47,PA,BLBA,PE,CLLO,2023-10-05,2023-10-10
APLSHA,47,PE,CLLO,PA,BLBA,2023-10-11,2023-10-16
APLSHA,50,PA,BLBA,PE,CLLO,2024-02-15,2024-02-20
APLSHA,50,PE,CLLO,PA,BLBA,2024-02-21,2024-02-26
APLSHA,50,PE,CLLO,US,NYOK,2024-02-23,2024-03-05
APLSHA,50,US,NYOK,PE,CLLO,2024-02-05,2024-02-19
APLSHA,51,PA,BLBA,US,NWAK,2024-04-08,2024-04-15
APLSHA,51,PE,CLLO,PA,BLBA,2024-04-02,2024-04-07
APLSHA,51,US,NWAK,PE,CLLO,2024-03-22,2024-04-01
APLSHA,51,PA,MANO,US,NYOK,2024-04-09,2024-04-15
APLSHA,51,PE,CLLO,PA,MANO,2024-04-02,2024-04-08
APLSHA,51,US,NYOK,PE,CLLO,2024-03-17,2024-04-01
APLSHA,47,CL,VARO,PE,CLLO,2023-11-19,2023-11-20
APLSHA,47,PA,BLBA,CL,VARO,2023-11-14,2023-11-19
APLXX,66,TW,KLUG,PE,CLLO,2024-03-31,2024-05-04
APLXXX,517,PA,BLBA,PE,CLLO,2024-06-21,2024-07-05
ARIA,208,CL,VARO,PE,CLLO,2024-01-24,2024-01-29
ASCA,7,US,PERS,PE,CLLO,2022-07-12,2022-07-22
ASCA,8,US,PERS,PE,CLLO,2022-08-24,2022-09-02
ASCA,9,US,PERS,PE,CLLO,2022-10-04,2022-10-14
ASCA,11,US,PERS,PE,CLLO,2022-12-27,2023-01-06
ASCA,10,US,PERS,PE,CLLO,2022-11-15,2022-11-25
ASCA,8,PE,CLLO,CO,BVEA,2022-08-04,2022-08-09
ASCA,8,US,NYOK,PE,CLLO,2022-07-17,2022-08-03
ASCA,8,PE,CLLO,US,NYOK,2022-08-04,2022-08-19
ASCA,8,US,NYOK,PE,CLLO,2022-07-17,2022-08-02
ASCA,11,PE,CLLO,US,NYOK,2022-12-06,2023-01-03
ASCA,11,US,NYOK,PE,CLLO,2022-11-08,2022-12-05
ASCA,10,PE,CLLO,US,NYOK,2022-10-27,2022-11-09
ASCA,10,US,NYOK,PE,CLLO,2022-10-11,2022-10-26
ASCA,11,PE,CLLO,US,NYOK,2022-12-08,2022-12-21
ASCA,11,US,NYOK,PE,CLLO,2022-11-24,2022-12-07
ASCA,8,PE,CLLO,US,NYOK,2022-08-04,2022-08-18
ASCA,8,US,NYOK,PE,CLLO,2022-07-20,2022-08-03
BACH,3132,CL,VARO,PE,CLLO,2022-09-07,2022-09-10
BACH,3132,PA,MANO,PE,CLLO,2022-08-27,2022-09-01
BACH,3148,CL,VARO,PE,CLLO,2022-12-28,2022-12-31
BACH,515,DE,HBUG,PE,CLLO,2024-04-07,2024-05-07
BACH,515,PE,CLLO,DE,HBUG,2024-05-07,2024-05-31
BACH,1412,CL,VARO,PE,CLLO,2023-04-19,2023-04-22
BACH,3140,CL,VARO,PE,CLLO,2022-11-02,2022-11-05
BACH,3140,PA,MANO,PE,CLLO,2022-10-23,2022-10-27
BACH,3148,NL,RERM,PE,CLLO,2022-11-26,2022-12-23
BACH,332,DE,HBUG,PE,CLLO,2022-08-21,2022-09-10
BACH,332,PE,CLLO,DE,HBUG,2022-09-11,2022-09-30
BACH,348,CL,VARO,PE,CLLO,2022-12-16,2022-12-22
BACH,348,PE,CLLO,CL,VARO,2022-12-23,2022-12-26
BACH,404,NL,RERM,PE,CLLO,2023-01-25,2023-02-16
BACH,4101,CL,VARO,PE,CLLO,2023-02-22,2023-02-25
BACH,4104,BE,AWEP,PE,CLLO,2023-01-28,2023-02-23
BACH,4104,PE,CLLO,BE,AWEP,2023-02-26,2023-03-22
BACH,4112,ES,VENA2,PE,CLLO,2023-03-26,2023-04-22
BACH,4112,PE,CLLO,ES,VENA2,2023-04-24,2023-05-23
BACH,412,NL,RERM,PE,CLLO,2023-03-22,2023-04-13
BACH,4120,AR,BSAS,CL,VARO,2023-06-07,2023-06-13
BACH,4120,CL,VARO,PE,CLLO,2023-06-14,2023-06-18
BACH,4120,DE,HBUG,PE,CLLO,2023-05-15,2023-06-18
BACH,4120,PE,CLLO,DE,HBUG,2023-06-18,2023-07-21
BACH,420,ES,BELA,PE,CLLO,2023-05-15,2023-06-18
BACH,420,PE,CLLO,ES,BELA,2023-06-18,2023-07-21
BACH,420,NL,RERM,PE,CLLO,2023-05-17,2023-06-08
BACH,428,NL,RERM,PE,CLLO,2023-07-12,2023-08-03
BACH,3140,NL,RERM,PE,CLLO,2022-10-01,2022-10-28
BACH,420,CL,VARO,PA,CLON1,2023-06-17,2023-06-21
BACH,420,PA,CLON1,PE,CLLO,2023-05-30,2023-06-04
BACH,420,PE,CLLO,CL,VARO,2023-06-10,2023-06-16
BACH,866,NL,RERM,ES,BELA,2022-10-01,2022-10-10
BACH,866,PA,MANO,PE,CLLO,2022-09-05,2022-09-10
BACH,866,PE,CLLO,NL,RERM,2022-09-11,2022-09-30
BACH,865,ES,VENA2,PE,CLLO,2022-07-26,2022-09-01
BARR,165,BR,SNTS,PE,CLLO,2024-02-15,2024-03-02
BAURA,3129,CL,VARO,PE,CLLO,2022-08-17,2022-08-20
BAURA,3129,NL,RERM,PA,MANO,2022-07-22,2022-08-01
BAURA,3129,PA,MANO,PE,CLLO,2022-08-07,2022-08-11
BAURA,3137,CL,VARO,PE,CLLO,2022-10-12,2022-10-15
BAURA,3137,PA,MANO,PE,CLLO,2022-10-02,2022-10-06
BAURA,3145,CL,VARO,PE,CLLO,2022-12-07,2022-12-10
BAURA,3145,BE,AWEP,PA,MANO,2022-11-11,2022-11-27
BAURA,3145,NL,RERM,BE,AWEP,2022-11-05,2022-11-11
BAURA,3145,PA,MANO,PE,CLLO,2022-11-27,2022-12-01
BAURA,337,CL,VARO,PE,CLLO,2022-09-30,2022-10-06
BAURA,337,PE,CLLO,CL,VARO,2022-10-07,2022-10-13
BAURA,345,DE,HBUG,PE,CLLO,2022-12-07,2022-12-09
BAURA,345,PA,MANO,DE,HBUG,2022-12-16,2022-12-30
BAURA,345,PE,CLLO,PA,MANO,2022-12-10,2022-12-15
BAURA,401,CL,VARO,PE,CLLO,2023-01-20,2023-01-26
BAURA,401,PE,CLLO,CL,VARO,2023-01-27,2023-02-02
BAURA,876,NL,RERM,ES,BELA,2022-11-05,2022-11-13
BAURA,876,PA,MANO,PE,CLLO,2022-10-09,2022-10-14
BAURA,876,PE,CLLO,NL,RERM,2022-10-15,2022-11-04
BAURA,860,PA,MANO,PE,CLLO,2022-08-17,2022-08-20
BAURA,860,PE,CLLO,NL,RERM,2022-08-22,2022-09-10
BESC,7,IN,MNDA,PE,CLLO,2024-01-31,2024-03-21
BESC,3125,CL,VARO,PE,CLLO,2022-07-20,2022-07-23
BESC,3133,CL,VARO,PE,CLLO,2022-09-14,2022-09-17
BESC,333,US,PERS,PE,CLLO,2022-08-24,2022-09-08
BESC,4121,AR,BSAS,CL,VARO,2023-06-11,2023-06-21
BESC,4121,CL,VARO,PE,CLLO,2023-06-21,2023-06-24
BESC,4121,BE,AWEP,PE,CLLO,2023-05-26,2023-06-15
BESC,4137,DE,HBUG,GB,LNDN,2023-09-11,2023-09-12
BESC,4137,GB,LNDN,PE,CLLO,2023-09-13,2023-10-05
BESC,429,CL,VARO,PE,CLLO,2023-08-16,2023-08-19
BESC,445,CL,VARO,PE,CLLO,2023-12-06,2023-12-09
BESC,453,CL,VARO,PE,CLLO,2024-01-31,2024-02-03
BESC,5109,CL,VARO,PE,CLLO,2024-03-26,2024-03-30
BESC,517,CL,VARO,PE,CLLO,2024-05-11,2024-05-16
BESC,517,PE,CLLO,CL,VARO,2024-05-17,2024-05-21
BESC,1437,CL,VARO,PE,CLLO,2023-10-11,2023-10-14
