CodigoNave,Viaje,Rumbo,CodigoPaisCarga,CodigoPuertoCarga,CodigoPaisDesCarga,CodigoPuertoDesCarga,fechaSalida,fechaLlegada,ClaveCarga,ClaveDesCarga,CodigoPuertoCargaAntiguo,CodigoPuertoDesCargaAntiguo
SANRE,4127,S,AR,BSAS,PE,CLLO,2023-06-25,2023-07-27,BUE|AR,CLL|PE,BUE,CLL
SANRE,4135,N,CL,VARO,PE,CLLO,2023-09-27,2023-09-30,VAP|CL,CLL|PE,VAP,CLL
SANRE,4135,S,DE,HBUG,PE,CLLO,2023-08-29,2023-09-21,HAM|DE,CLL|PE,HAM,CLL
SANRE,427,S,CL,VARO,PE,CLLO,2023-07-25,2023-07-26,VAP|CL,CLL|PE,VAP,CLL
SANRE,427,S,PE,CLLO,CL,VARO,2023-07-27,2023-08-01,CLL|PE,VAP|CL,CLL,VAP
SANRE,451,N,CL,VARO,PE,CLLO,2024-01-15,2024-01-20,VAP|CL,CLL|PE,VAP,CLL
SANRE,5107,N,CL,VARO,PE,CLLO,2024-03-13,2024-03-16,VAP|CL,CLL|PE,VAP,CLL
SANRE,5115,N,CL,VARO,PE,CLLO,2024-05-08,2024-05-11,VAP|CL,CLL|PE,VAP,CLL
SANRE,5115,S,PA,MANO,PE,CLLO,2024-04-27,2024-05-02,MIT|PA,CLL|PE,MIT,CLL
SANRE,515,S,CL,VARO,PE,CLLO,2024-05-08,2024-05-12,VAP|CL,CLL|PE,VAP,CLL
SANRE,515,SW,CL,VARO,PE,CLLO,2024-03-30,2024-04-02,VAP|CL,CLL|PE,VAP,CLL
SANRE,515,SW,PE,CLLO,CL,VARO,2024-04-02,2024-04-06,CLL|PE,VAP|CL,CLL,VAP
SANRE,1411,N,CL,VARO,PE,CLLO,2023-04-12,2023-04-15,VAP|CL,CLL|PE,VAP,CLL
SANRE,3139,N,CL,VARO,PE,CLLO,2022-10-26,2022-10-29,VAP|CL,CLL|PE,VAP,CLL
