CodigoPuerto,CodigoPais,TipoTransporte,EsPuertoLocal,NombrePuerto
DBLN,IE,M,0,DUBLIN
DEDN,NZ,M,0,DUNEDIN
DSBG,DE,M,0,DUISBURG
DRBN,ZA,M,0,DURBAN
DELF,DE,A,0,DUSSELDORF
DBAI,AE,M,0,DUBAI
DRBY,GB,M,0,DERBY
SBAN,ES,M,0,SAN SEBASTIAN
ELBA,IT,M,0,ELBA
EJEG,DK,M,0,ESBJERG
EORT,KE,M,0,ELDORET
EAME,VE,M,0,EL GUAMACHE
ELON,ZA,M,0,EAST LONDON
ENNA,IT,M,0,ENNA
EFUT,DE,M,0,ERFURT
EENA,MX,M,0,ENSENADA
ESEN,DE,M,0,ESSEN
ETEC,MX,M,0,ECATEPEC
NWAK,US,A,0,NEWARK
FCHG,CN,M,0,FANG CHENG
FGSN,CN,M,0,FANGSHAN
FGKI,CN,M,0,FENGKAI
FSBG,DE,M,0,FLENSBURG
FNOS,BR,A,0,FLORIANOPOLIS
FENE,IT,M,0,FIRENZE
FGUA,CY,M,0,FAMAGUSTA
FETN,SL,M,0,FREETOWN
NMES,FR,M,0,NIMES
FZHU,CN,M,0,FUZHOU
FGGA,IT,M,0,FOGGIA
FALA,BR,M,0,FORTALEZA
FSHN,CN,M,0,FOSHAN
FURR,FR,M,0,FOS SUR MER 
FKFT,DE,A,0,FRANKFURT
FANE,AU,M,0,FREMANTLE
FIKD,NO,M,0,FREDRIKSTAD
FRLI,IT,M,0,FORLI
FINE,IT,M,0,FROSINONE
FRAA,IT,M,0,FERRARA
FISN,BW,M,0,FRANCISTOWN
FSHN1,CN,M,0,FU SHUN 
FTUA,US,M,0,FORTUNA
FAFI,TV,M,0,FUNAFUTI
FXIN,CN,M,0,FUXIN
FXSE,GB,M,0,FELIXSTOWE
FYAG,CN,M,0,FUYANG
GZHU,CN,M,0,GAIZHOU
GOYO,CN,M,0,GAOYAO
GORE,BW,M,0,GABORONE
GBOC,US,M,0,"GREENSBORO, NC"
GLAA,MX,A,0,GUADALAJARA
GANK,PL,M,0,GDANSK
GYNA,PL,M,0,GDYNIA
GERA,DE,M,0,GERA
GKIN,DE,M,0,GELSENKIRCHEN
GGEN,GY,M,0,GEORGETOWN
GLSS,PH,M,0,GENERAL SANTOS
GALR,GI,M,0,GIBRALTAR
RJAO,BR,A,0,RIO DE JANIERO
GJON,ES,M,0,GIJON
GSGW,GB,M,0,GLASGOW
GNOA,IT,M,0,GENOVA
GMIG,CN,M,0,GAOMING
GENG,SE,M,0,GOTHENBURG
GROA,ES,M,0,GERONA
GSSO,IT,M,0,GROSSETO
GULS,BR,A,0,GUARULHOS
GNAA,ES,M,0,GRANADA
GRAZ,AT,M,0,GRAZ
GLAA1,ES,M,0,GUADALAJARA
GEMA,GT,A,0,GUATEMALA
GALY,GT,M,0,GUATEMALA CITY
GGAG,CN,M,0,GUIGANG
GUAM,GU,M,0,GUAM
AOTU,PG,M,0,ALOTAU
GNEE,CH,M,0,GENEVE
GAQL,EC,A,0,GUAYAQUIL
GIZA,IT,M,0,GORIZIA
HDEA,IL,M,0,HADERA
HGEN,DE,M,0,HAGEN
RHAA,DO,M,0,RIO HAINA
HNOR,DE,M,0,HANNOVER
HIKU,CN,M,0,HAIKOU
HIFX,CA,M,0,Halifax
HLLE,DE,M,0,HALLE
HBUO,DE,A,0,HAMBURGO
HBUG,DE,M,0,HAMBURG
HNOI,VN,M,0,HANOI
HTIS,NZ,M,0,HASTINGS
LABA,CU,M,0,LA HABANA
HBAT,AU,M,0,HOBART
BALB,EG,M,0,BURJ AL ARAB
HNDN,CN,M,0,HAN DAN 
HRNE,DE,M,0,HERNE
HELG,DE,M,0,HEIDELBERG
HSII,FI,M,0,HELSINKI
HNGG,SE,M,0,HELSINGBORG
HBRN,DE,M,0,HEILBRONN
HIFA,IL,M,0,HAIFA
HFEI,CN,M,0,HEFEI
HGZU,CN,M,0,HANGZHOU
HSHA,JP,M,0,HIROSHIMA
HESM,DE,M,0,HILDESHEIM
HNIG,CN,M,0,HAINING
HGSI,CN,M,0,HENGSHUI
HGKG,HK,A,0,HONG KONG
HUDO,CN,M,0,HULUDAO
HILN,NZ,M,0,HAMILTON
HIMN,CN,M,0,HAIMEN
HAMM,DE,M,0,HAMM
HMEN,CN,M,0,HUMEN
HMIA,FI,M,0,HAMINA
HOSO,MX,M,0,HERMOSILLO
HNLA,FI,M,0,HAMEENLINNA
HGYG,CN,M,0,HENGYANG
HEIH,YE,M,0,HODEIDAH
HSTN,US,A,0,HOUSTON
HTOX,US,M,0,HOUSTON TX
HPHG,VN,M,0,HAIPHONG
"H,WG",CN,M,0,"HUANGPU, WUCHONG"
HRBN,CN,M,0,HARBIN
HRAE,ZW,M,0,HARARE
HGSN,CN,M,0,HUANGSHAN
HNGI,CN,M,0,HUANGSHI
HSHN,CN,M,0,HESHAN
HKAA,JP,M,0,HAKATA
HNGU,CN,M,0,HUANGPU
HCHN,CN,M,0,HUNCHUN
HESA,ES,M,0,HUESCA
HZHU,CN,M,0,HUIZHOU
HUEX,VN,M,0,HUE
HELA,ES,M,0,HUELVA
HRAD,IN,M,0,HYDERABAD
HNGN,CN,M,0,HUANGYAN
HZHG,CN,M,0,HANZHONG
HZHU1,CN,M,0,HUZHOU
IIZA,ES,A,0,IBIZA
NDEI,IN,M,0,NEW DELHI
KIEV,UA,M,0,KIEV
ILOX,PE,M,1,ILO
IBAI,JP,M,0,IMABARI
IERA,IT,M,0,IMPERIA
ICHN,KR,A,0,INCHON
IHEN,KR,M,0,INCHEON
IPON,US,M,0,"INDIANAPOLIS, IN"
ILST,DE,M,0,INGOLSTADT
IBRK,AT,M,0,INNSBRUCK
IIQE,CL,A,0,IQUIQUE
IMAD,PK,M,0,ISLAMABAD
IRNA,IT,M,0,ISERNIA
IAIA,EG,M,0,ISMAILIA
IANL,TR,M,0,ISTANBUL
IGUI,BR,M,0,ITAGUAI
IAJI,BR,M,0,ITAJAI
ICAL,NZ,M,0,INVERCARGILL
IMIR,TR,M,0,IZMIR
JAEN,ES,M,0,JAEN
JNVL,US,M,0,JACKSONVILLE FL
JDEN,CN,M,0,JINGDEZHEN
JELI,AE,M,0,JEBEL ALI
JENA,DE,M,0,JENA
NNFT,US,A,0,NEW YORK-JOHN F. KENNEDY APT
JNHA,CN,M,0,JINHUA
JNGN,CN,M,0,JIANGYIN
DBOI,DJ,M,0,DJIBOUTI
JDIG,CN,M,0,JIADING
JLIN,CN,M,0,JILIN
JXIG,CN,M,0,JIAXING
JJIG,CN,M,0,JIUJIANG
JARA,ID,M,0,JAKARTA
JNGN1,CN,M,0,JIANGMEN
JMUI,CN,M,0,JIAMUSI
JNEG,ZA,A,0,JOHANNESBURG
JNIG,CN,M,0,JINING
JZHU,CN,M,0,JINZHOU
JNSU,FI,M,0,JOENSUU
JROG,CN,M,0,JURONG
JOXN,CN,M,0,JIAOXIN
JSKA,FI,M,0,JYVASKYLA
JOZU,CN,M,0,JIAO ZHOU
JZHU1,CN,M,0,JIUZHOU
KAAI,FI,M,0,KAJAANI
KSSL,DE,M,0,KASSEL
KIEL,DE,M,0,KIEL
KLUG,TW,M,0,KEELUNG
KPTN,DE,M,0,KEMPTEN
KFEG,CN,M,0,KAIFENG
KGAI,RW,M,0,KIGALI
KHIG,TW,M,0,KAOSHIUNG
KACI,PK,M,0,KARACHI
NCHG,CN,M,0,NANCHANG
KISD,IR,M,0,KISH ISLAND
KGSN,JM,A,0,KINGSTON
KSUU,KE,M,0,KISUMU
KTWE,ZM,M,0,KITWE
KIYN,CN,M,0,KAIYUN
KPAA,UG,M,0,KAMPALA
KIPA,LT,M,0,KLAIPEDA
KSLN,DE,M,0,KAISERSLAUTERN
KMAO,US,M,0,KALAMAZOO
KAMO,JP,M,0,KUMAMOTO
KAZA,JP,M,0,KANAZAWA
KKOA,FI,M,0,KOKKOLA
KKUA,JP,M,0,KOKURA
KDIG,DK,M,0,KOLDING
KSAV,RU,M,0,KORSAKOV
KPIG,CN,M,0,KAIPING
KAKW,PL,M,0,KRAKOW
KIAD,NO,M,0,KRISTIANSAND
KRTM,SD,M,0,KHARTOUM
KTKA,FI,M,0,KOTKA
KSTN,VC,M,0,KINGSTOWN
KBET,BN,M,0,KUALA BELAIT
KLUR,MY,A,0,KUALA LUMPUR
KUNS,LT,M,0,KAUNAS
KOPO,FI,M,0,KUOPIO
KSHN,CN,M,0,KUNSHAN
KIEG,PG,M,0,KAVIENG
KWAT,KW,M,0,KUWAIT
GILN,CN,M,0,GUILIN
LANA,AO,M,0,LUANDA
LAEX,PG,M,0,LAE
LUAA,VE,M,0,LA GUAIRA
LZHU,CN,M,0,LAIZHOU
LVES,US,A,0,LAS VEGAS
LSAE,CH,M,0,LAUSANNE
LNGS,US,A,0,LOS ANGELES
LELA,US,M,0,"LOS ANGELES ,CA"
LBEK,DE,M,0,LÜBECK
LANI,MY,M,0,LABUAN HAJI
LEVE,GA,M,0,LIBREVILLE
LNAA,CY,M,0,LARNACA
LCCE,IT,M,0,LECCE
CRUA,ES,M,0,CORUÑA
LHAG,TH,M,0,LAEM CHABANG
LCCO,IT,M,0,LECCO
LCCA,IT,M,0,LUCCA
LAVE,FR,M,0,LE HAVRE
AERA,ES,M,0,ALMERIA
LXOS,PT,M,0,LEIXOES
LPZG,DE,M,0,LEIPZIG
LEON,ES,M,0,LEON
LEON1,MX,M,0,LEON
LRKN,DE,M,0,LEVERKUSEN
LVIN,NZ,M,0,LEVIN
LGFG,CN,M,0,LANGFANG
LOME,TG,M,0,LOME
LUGO,ES,M,0,LUGO
LHOE,PK,M,0,LAHORE
LHTI,FI,M,0,LAHTI
LHEW,GB,A,0,LONDON HEATROW
LZHU1,CN,M,0,LAN ZHOU
LOYG,CN,M,0,LIAOYANG
LUAN,CN,M,0,LIANHUASHAN
LIMA,PE,A,1,LIMA
MLIT,IT,A,0,MILANO-LINATE APT
POLN,CR,M,0,PUERTO LIMON
LYON,FR,M,0,LYON
LSHI,CN,M,0,LISHUI
LSBA,PT,A,0,LISBOA
LNDU,DE,M,0,LINDAU
LRPL,GB,M,0,LIVERPOOL
LORO,IT,M,0,LIVORNO
LRIA,ES,M,0,LERIDA
LLJA,SI,M,0,LJUBLJANA
LGKU,CN,M,0,LONGKOU
LLLE,FR,M,0,LILLE
LONE,MW,M,0,LILONGWE
LASL,CY,M,0,LIMASSOL
LNAN,CN,M,0,LINAN
LNHI,CN,M,0,LINHAI
LINZ,AT,M,0,LINZ
LODZ,PL,M,0,LODZ
LNDN,GB,M,0,LONDON
LGOS,NG,M,0,LAGOS
LALS,ES,M,0,LAS PALMAS
LPAZ,BO,A,0,LA PAZ
MPIG,CN,M,0,MOUPING
LPAA,LV,M,0,LIEPAJA
LQUN,CL,M,0,LIRQUEN
LSHN,CN,M,0,LUSHUN
LNSI,CN,M,0,LANSHI
LTOA,FJ,M,0,LAUTOKA
LAKA,SY,M,0,LATAKIA
LTIA,IT,M,0,LATINA
LGSN,DE,M,0,LUDWIGSHAFEN
LSAA,ZM,A,0,LUSAKA
LGSE,ZM,M,0,LIVINGSTONE
LYAG,CN,M,0,LUO YANG
LYAG1,CN,M,0,LAIYANG
LUNG,CN,M,0,LIANYUNGANG
LNYI,CN,M,0,LINYI
FALD,PK,M,0,FAISALABAD
LTOT,FR,A,0,LYON-SATOLAS APT
LELN,NZ,M,0,LYTTELTON
LZHU2,CN,M,0,LIUZHOU
MNSN,CN,M,0,MAANSHAN
CNNI,IN,M,0,CHENNAI
MDRD,ES,A,0,MADRID
MEBG,DE,M,0,MAGDEBURG
MDAG,PG,M,0,MADANG
MMEA,ES,M,0,MAHON MENORCA
MINZ,DE,M,0,MAINZ
MZUU,JP,M,0,MAIZURU
MJUO,MH,M,0,MAJURO
MTOA,IT,M,0,MANTOVA
MCAO,VE,M,0,MARACAIBO
MSAA,SZ,M,0,MATSAPHA
MWEI,CN,M,0,MAWEI
MAHE,SC,M,0,MAHE
MBAA,KE,M,0,MOMBASA
MBAE,PH,M,0,MASBATE
MIBR,SI,M,0,MARIBOR
MERA,IT,M,0,MACERATA
MELN,CO,A,0,MEDELLIN
MDOA,AR,M,0,MENDOZA
MOUE,AU,A,0,MELBOURNE
MHIN,US,M,0,MEMPHIS TN
MRSN,TR,M,0,MERSIN
MXIO,MX,A,0,MEXICO
MCOY,MX,M,0,MEXICO CITY
MAGA,NI,A,0,MANAGUA
MNHM,DE,M,0,MANNHEIM
MAMI,US,A,0,MIAMI
MMIL,US,M,0,MIAMI FL
MLAN,IT,A,0,MILAN
MDEO,CV,M,0,MINDELO
MANO,PA,M,0,MANZANILLO
MYUN,CN,M,0,MIYUN
MRCA,ES,M,0,MURCIA
KCIO,US,M,0,"Kansas City , MO"
MALE,MV,M,0,MALE
MILA,ES,M,0,MELILLA
MROA,LR,M,0,MONROVIA
MMIG,CN,M,0,MAOMING
MHEM,DE,M,0,MÜLHEIM
MHER,GB,M,0,MANCHESTER
NCAA,MZ,M,0,NACALA
MNIA,PH,M,0,MANILA
MDEA,IT,M,0,MODENA
MERS,DE,M,0,MOERS
MELR,FR,A,0,MONTPELLIER
MPUO,MZ,M,0,MAPUTO
MSEA,FR,A,0,MARSELLA
MEIE,FR,M,0,MARSEILLE
MSIA,IT,M,0,MESSINA
MNSK,BY,M,0,MINSK
MSEU,LS,M,0,MASERU
NLEA,US,M,0,NEW ORLEANS LA
MTRL,CA,M,0,MONTREAL
MTEA,IT,M,0,MATERA
MZII,SZ,M,0,MANZINI
MERY,MX,A,0,MONTERREY
MARA,BN,M,0,MUARA
MNIH,DE,A,0,MUNICH
MUGA,EE,M,0,MUUGA
MNDA,IN,M,0,MUNDRA
MTHO,VN,M,0,MY THO
MLTN,PK,M,0,MULTAN
MEVO,UY,M,0,MONTEVIDEO
MPEA,IT,A,0,MALPENSA
MUYA,JP,M,0,MATSUYAMA
NNHI,CN,M,0,NANHAI
NOKA,JP,M,0,NAHA / OKINAWA
NBOE,FR,M,0,NARBONNE
NROI,KE,M,0,NAIROBI
NICE,FR,A,0,NICE
QIHR,CN,M,0,QIQIHAR
NNGO,CN,A,0,NINGBO
NGAG,CN,M,0,NANGANG
NASI,JP,M,0,NAGASAKI
"NA,A",JP,M,0,"NAGOYA, OITA"
NTRG,VN,M,0,NHA TRANG
NNGE,CN,M,0,NINGHE
NNHI1,CN,M,0,NANHUI
NOSA,CY,M,0,NICOSIA
NAMY,NE,M,0,NIAMEY
NGHI,CN,M,0,NINGHAI
NJIG,CN,M,0,NANJING
NOLA,ZM,M,0,NDOLA
NDIH,VN,M,0,NAM DINH
NNIG,CN,M,0,NANNING
NUMA,NC,M,0,NOUMEA
NPIR,NZ,M,0,NAPIER
NYMH,NZ,M,0,NEW PLYMOUTH
NPIG,CN,M,0,NANPING
NPTO,JP,A,0,NARITA APT/TOKYO
NNSA,CN,M,0,NANSHA
NASA,IN,M,0,NHAVA SHEVA
NLSN,NZ,M,0,NELSON
NUSS,DE,M,0,NEUSS
NTOG,CN,M,0,NANTONG
NNBG,DE,M,0,NÜRNBERG
NAIA,EG,M,0,NUWAIBA
NVAA,IT,M,0,NOVARA
NOJA,MX,M,0,NAVOJOA
NGAS,BR,M,0,NAVEGANTES
NYOK,US,A,0,NEW YORK
NYAG,CN,M,0,NANYANG
NSSU,US,M,0,NASSAU
OANA,US,M,0,"OAKLAND, CA"
OEGN,MX,M,0,OBREGON
CDOA1,ES,M,0,CORDOBA
OENE,DK,M,0,ODENSE
OESA,UA,M,0,ODESSA
ONBH,DE,M,0,OFFENBACH
OHAN,DE,M,0,OBERHAUSEN
OITA,JP,M,0,OITA
ONBG,DE,M,0,OLDENBURG
OULU,FI,M,0,OULU
COMO1,IT,M,0,COMO
CLON1,PA,M,0,COLON
PRTO,PT,A,0,PORTO
OORO,PT,M,0,OPORTO
CCAO,US,A,0,CHICAGO
OENE1,ES,M,0,ORENSE
NOLA1,US,M,0,NORFOLK VA
CORK,IE,M,0,CORK
ONDL,US,M,0,"ORLANDO, FL"
ORAN,DZ,M,0,ORAN
OAKA,JP,M,0,OSAKA
OSLO,NO,M,0,OSLO
OBRK,DE,M,0,OSNABRÜCK
B-OT,RO,A,0,BUCURESTI-OTOPENI APT
ODOU,BF,M,0,OUAGADOUGOU
OIEO,ES,M,0,OVIEDO
BSSU,GW,M,0,BISSAU
PENA,ES,M,0,PALENCIA
PITA,PE,M,1,PAITA
PBOG,DK,M,0,PADBORG
PRIS,FR,M,0,PARIS
PVIA,IT,M,0,PAVIA
PEBA,MX,M,0,PUEBLA
PCAO,VE,M,0,PUERTO CABELLO
PMAO,SR,M,0,PARAMARIBO
PBAS,GT,M,0,PUERTO BARRIOS
POCS,HN,M,0,PUERTO CORTES
PCEA,IT,M,0,PIACENZA
PDOA,IT,M,0,PADOVA
PDAG,ID,M,0,PADANG
PNGU,CN,M,0,PING DU
PTLD,US,M,0,PORTLAND
PCEM,BR,M,0,PECEM
PERS,US,M,0,PORT EVERGLADES
PUGA,IT,M,0,PERUGIA
PNAG,MY,M,0,PENANG
PRTH,AU,M,0,PERTH
PAWG,ID,M,0,PERAWANG
PSAO,IT,M,0,PESARO
PEVA,ES,M,0,PONTEVEDRA
PHAR,PK,M,0,PESHAWAR
PPHS,CY,M,0,PAPHOS
PIGN,FR,M,0,PERPIGNAN
PANR,MY,M,0,"PASIR GUDANG, JOHOR"
PDEA,US,M,0,PHILADELPHIA
PXIG,CN,M,0,PINGXIANG
PAES,GR,M,0,PIRAEUS
PNJN,CN,M,0,PANJIN
PKEG,MY,M,0,PORT KELANG
PGLI,CN,M,0,PENG LAI
PLOS,MU,M,0,PORT LOUIS
PIZH,ZA,M,0,PORT ELIZABETH
PRMA,IT,M,0,PARMA
PALA,ES,A,0,PALMA MALLORCA
PMAA,ES,M,0,PALMA DE MALLORCA
PERO,IT,M,0,PALERMO
PTOH,NZ,M,0,PALMERSTON NORTH
PPLA,ES,M,0,PAMPLONA
PNAA,BR,M,0,PARANAGUA
PMPH,KH,M,0,PHNOM PENH
PENE,CG,M,0,POINTE NOIRE
PCHY,IN,M,0,PONDICHERRY
PALE,BR,M,0,PORTO ALEGRE
PHAS,NZ,M,0,PORT CHALMERS
POR*,PG,M,0,PORT MORESBY*
PORG,FI,M,0,PORI/ BJORNEBORG
POEA,TT,M,0,PUERTO ESPAÑA
PSDM,DE,M,0,POTSDAM
PZNN,PL,M,0,POZNAN
POPO,AS,M,0,PAGO PAGO
