CodigoPuerto,CodigoPais,NombrePuerto,TipoTransporte,EsPuertoLocal,NombreAntiguo,CodAntiguo
BAPT,HU,BUDAPEST,M,0,BUDAPEST,BUD
BSAS,AR,BUENOSAIRES,A,0,BUENOS AIRES,BUE
BALY,US,"BUFFALO,NY",M,0,"BUFFALO, NY",BUF
BVEA,CO,BUENAVENTURA,M,0,BUENAVENTURA,BUN
BAWO,ZW,BULAWAYO,M,0,BULAWAYO,BUQ
BRGS1,ES,BURGOS,M,0,BURGOS,BUR
BSCG,DE,BRAUNSCHWEIG,M,0,BRAUNSCHWEIG,BWE
BTUN,PH,BUTUAN,M,0,BUTUAN,BXU
BZEY,BZ,BELIZECITY,M,0,BELIZE CITY,BZE
BZAO,IT,BOLZANO,M,0,BOLZANO,BZO
CDIZ,ES,CADIZ,M,0,CADIZ,CAD
CLII,IT,CAGLIARI,M,0,CAGLIARI,CAG
CIRO,EG,CAIRO,M,0,CAIRO,CAI
CGAY,CA,CALGARY,M,0,CALGARY,CAL
GOUA,CN,"GUANGZHOU,CHINA",A,0,"GUANGZHOU, CHINA",CAN
"GU,G",CN,"GUANGZHOU,XINGFENG",M,0,"GUANGZHOU, XINGFENG",CAN
CCEO,DO,CAUCEDO,M,0,CAUCEDO,CAU
CABA,BO,COCHABAMBA,M,0,COCHABAMBA,CBB
CSSE,FR,CARCASSONNE,M,0,CARCASSONNE,CCF
CERS,ES,CACERES,M,0,CACERES,CCS
CACS,VE,CARACAS,A,0,CARACAS,CCS
CCUA,IN,CALCUTTA,M,0,CALCUTTA,CCU
CDIF,GB,CARDIFF,M,0,CARDIFF,CDF
CDEE,FR,CHARLESDEGAULLE,A,0,CHARLES DE GAULLE,CDG
CEBU,PH,CEBU,M,0,CEBU,CEB
CUTA,ES,CEUTA,M,0,CEUTA,CEU
CSEA,IT,CESENA,M,0,CESENA,CEZ
KOLN,DE,KOLN,M,0,KOLN,CGN
CTAG,BD,CHITTAGONG,M,0,CHITTAGONG,CGP
CGCN,CN,CHANGCHUN,M,0,CHANG CHUN,CGQ
CNGU,CN,CHANGSHU,M,0,CHANGSHU,CGU
CANO,PH,CAGAYANDEORO,M,0,CAGAYAN DE ORO,CGY
CIBA,JP,CHIBA,M,0,CHIBA,CHB
CTCH,NZ,CHRISTCHURCH,M,0,CHRISTCHURCH,CHC
CMNZ,DE,CHEMNITZ,M,0,CHEMNITZ,CHE
CAGL,US,CHICAGOIL,M,0,CHICAGO IL,CHI
CESC,US,CHARLESTONSC,M,0,CHARLESTON SC,CHS
CIEI,IT,CHIETI,M,0,CHIETI,CII
CINO,NI,CORINTO,M,0,CORINTO,CIO
CADL,ES,CIUDADREAL,M,0,CIUDAD REAL,CIR
CIXI,CN,CIXI,M,0,CIXI,CIX
CBAE,IN,COIMBATORE,M,0,COIMBATORE,CJB
CGQG,CN,CHONGQING,M,0,CHONGQING,CKG
CAKY,GN,CONAKRY,M,0,CONAKRY,CKY
ARTO,PE,AEROPUERTOCALLAO,A,1,AEROPUERTO CALLAO,CLA
CLAH,US,"CLEVELAND,OH",A,0,"CLEVELAND, OH",CLE
CLLO,PE,CALLAO,M,1,CALLAO,CLL
CALI,CO,CALI,A,0,CALI,CLO
CLOE,US,CHARLOTTE,A,0,CHARLOTTE,CLT
CLAA,MX,CELAYA,M,0,CELAYA,CLY
COMO,LK,COLOMBO,M,0,COLOMBO,CMB
CBUH,US,"COLUMBUS,OH",M,0,"COLUMBUS, OH",CMH
CNGE,CN,CHENGDE,M,0,CHENG DE,CNG
COBO,IT,CAMPOBASSO,M,0,CAMPOBASSO,COB
CCHN,IN,COCHIN,M,0,COCHIN,COK
CLON,AR,COLON,M,0,COLON,COL
CLIA,MX,COLIMA,M,0,COLIMA,COL
CONU,BJ,COTONOU,M,0,COTONOU,COO
CDOA,AR,CORDOBA,A,0,CORDOBA,COR
CTBS,DE,COTTBUS,M,0,COTTBUS,COT
COZU,CN,CHAOZHOU,M,0,CHAOZHOU,COZ
CGPG,CN,CHANGPING,M,0,CHANGPING,CPG
CNHN,DK,COPENHAGEN,M,0,COPENHAGEN,CPH
CETN,ZA,CAPETOWN,A,0,CAPE TOWN,CPT
CMOA,IT,CREMONA,M,0,CREMONA,CRE
COTC,US,CHARLOTTENC,M,0,CHARLOTTE NC,CRQ
CTEN,ES,CASTEJON,M,0,CASTEJON,CSJ
CTRS,LC,CASTRIES,M,0,CASTRIES,CSJ
COSO,PA,COCOSOLO,M,0,COCO SOLO,CSO
CERA,IT,CASERTA,M,0,CASERTA,CST
CNGA,CN,CHANGSHA,M,0,CHANGSHA,CSX
CANA,IT,CATANIA,M,0,CATANIA,CTA
CTOL,PA,CRISTOBAL,M,0,CRISTOBAL,CTB
CAGA,CO,CARTAGENA,M,0,CARTAGENA,CTG
CISA,IT,CALTANISSETTA,M,0,CALTANISSETTA,CTS
CNGU1,CN,CHENGDU,M,0,CHENGDU,CTU
CENA,ES,CUENCA,M,0,CUENCA,CUE
CIAN,MX,CULIACAN,M,0,CULIACAN,CUL
CNEO,IT,CUNEO,M,0,CUNEO,CUN
CVEA,IT,CIVITAVECCHIA,M,0,CIVITAVECCHIA,CVV
CIWN,CN,CHIWAN,M,0,CHIWAN,CWN
COYG,CN,CHAOYANG,M,0,CHAOYANG,CYG
CANE,DZ,CONSTANTINE,M,0,CONSTANTINE,CZL
CGZU,CN,CANGZHOU,M,0,CANGZHOU,CZU
CGZU1,CN,CHANGZHOU,M,0,CHANGZHOU,CZX
DGAG,CN,DAGANG,M,0,DAGANG,DAA
DAKA,BD,DHAKA,M,0,DHAKA,DAC
DNAG,VN,DANANG,M,0,DANANG,DAD
DLAX,US,DALLASTX,M,0,DALLAS TX,DAL
DSTT,DE,DARMSTADT,M,0,DARMSTADT,DAR
DTOG,CN,DATONG,M,0,DATONG,DAT
DXIN,CN,DAXIAN,M,0,DAXIAN,DAX
DANY,CN,DACHANBAY,M,0,DA CHAN BAY,DCB
DDOG,CN,DANDONG,M,0,DANDONG,DDG
DLHI,IN,DELHI,A,0,DELHI,DEL
DLLS,US,DALLAS,A,0,DALLAS,DFW
DGGN,CN,DONGGUAN,M,0,DONGGUAN,DGG
DGTI,CN,DONGTAI,M,0,DONGTAI,DGT
DGUE,PH,DUMAGUETE,M,0,DUMAGUETE,DGT
DJON,FR,DIJON,M,0,DIJON,DIJ
DKAR,SN,DAKAR,M,0,DAKAR,DKR
DUAA,CM,DOUALA,M,0,DOUALA,DLA
DLIN,CN,DALIAN,M,0,DALIAN,DLC
DOHA,QA,DOHA,M,0,DOHA,DOH
DUMN,CN,DOUMEN,M,0,DOUMEN,DOU
DQIG,CN,DAQING,M,0,DAQING,DQG
DSDN,DE,DRESDEN,M,0,DRESDEN,DRS
DRWN,AU,DARWIN,M,0,DARWIN,DRW
DRRS,AL,DURRES,M,0,DURRES,DRZ
DTMD,DE,DORTMUND,M,0,DORTMUND,DTM
DROT,US,DETROIT,A,0,DETROIT,DTW
DBLN,IE,DUBLIN,M,0,DUBLIN,DUB
DEDN,NZ,DUNEDIN,M,0,DUNEDIN,DUD
DSBG,DE,DUISBURG,M,0,DUISBURG,DUI
DRBN,ZA,DURBAN,M,0,DURBAN,DUR
DELF,DE,DUSSELDORF,A,0,DUSSELDORF,DUS
DBAI,AE,DUBAI,M,0,DUBAI,DXB
DRBY,GB,DERBY,M,0,DERBY,DXY
SBAN,ES,SANSEBASTIAN,M,0,SAN SEBASTIAN,EAS
ELBA,IT,ELBA,M,0,ELBA,EBA
EJEG,DK,ESBJERG,M,0,ESBJERG,EBJ
EORT,KE,ELDORET,M,0,ELDORET,EDL
EAME,VE,ELGUAMACHE,M,0,EL GUAMACHE,EGU
ELON,ZA,EASTLONDON,M,0,EAST LONDON,ELS
ENNA,IT,ENNA,M,0,ENNA,ENO
EFUT,DE,ERFURT,M,0,ERFURT,ERF
EENA,MX,ENSENADA,M,0,ENSENADA,ESE
ESEN,DE,ESSEN,M,0,ESSEN,ESS
ETEC,MX,ECATEPEC,M,0,ECATEPEC,ETP
NWAK,US,NEWARK,A,0,NEWARK,EWR
FCHG,CN,FANGCHENG,M,0,FANG CHENG,FAN
FGSN,CN,FANGSHAN,M,0,FANGSHAN,FAS
FGKI,CN,FENGKAI,M,0,FENGKAI,FKI
FSBG,DE,FLENSBURG,M,0,FLENSBURG,FLF
FNOS,BR,FLORIANOPOLIS,A,0,FLORIANOPOLIS,FLN
FENE,IT,FIRENZE,M,0,FIRENZE,FLR
FGUA,CY,FAMAGUSTA,M,0,FAMAGUSTA,FMG
FETN,SL,FREETOWN,M,0,FREETOWN,FNA
NMES,FR,NIMES,M,0,NIMES,FNI
FZHU,CN,FUZHOU,M,0,FUZHOU,FOC
FGGA,IT,FOGGIA,M,0,FOGGIA,FOG
FALA,BR,FORTALEZA,M,0,FORTALEZA,FOR
FSHN,CN,FOSHAN,M,0,FOSHAN,FOS
FURR,FR,FOSSURMER,M,0,FOS SUR MER ,FOS
FKFT,DE,FRANKFURT,A,0,FRANKFURT,FRA
