CodigoPuerto,CodigoPais,NombrePuerto,TipoTransporte,EsPuertoLocal,NombreAntiguo,CodAntiguo
LHEW,GB,LONDONHEATROW,A,0,LONDON HEATROW,LHR
LZHU1,CN,LANZHOU,M,0,LAN ZHOU,LHW
LOYG,CN,LIAOYANG,M,0,LIAOYANG,LIA
LUAN,CN,LIANHUASHAN,M,0,LIANHUASHAN,LIH
LIMA,PE,LIMA,A,1,LIMA,LIM
MLIT,IT,MILANO-LINATEAPT,A,0,MILANO-LINATE APT,LIN
POLN,CR,PUERTOLIMON,M,0,PUERTO LIMON,LIO
LYON,FR,LYON,M,0,LYON,LIO
LSHI,CN,LISHUI,M,0,LISHUI,LIS
LSBA,PT,LISBOA,A,0,LISBOA,LIS
LNDU,DE,LINDAU,M,0,LINDAU,LIU
LRPL,GB,LIVERPOOL,M,0,LIVERPOOL,LIV
LORO,IT,LIVORNO,M,0,LIVORNO,LIV
LRIA,ES,LERIDA,M,0,LERIDA,LJD
LLJA,SI,LJUBLJANA,M,0,LJUBLJANA,LJU
LGKU,CN,LONGKOU,M,0,LONGKOU,LKU
LLLE,FR,LILLE,M,0,LILLE,LLE
LONE,MW,LILONGWE,M,0,LILONGWE,LLW
LASL,CY,LIMASSOL,M,0,LIMASSOL,LMS
LNAN,CN,LINAN,M,0,LINAN,LNA
LNHI,CN,LINHAI,M,0,LINHAI,LNH
LINZ,AT,LINZ,M,0,LINZ,LNZ
LODZ,PL,LODZ,M,0,LODZ,LOD
LNDN,GB,LONDON,M,0,LONDON,LON
LGOS,NG,LAGOS,M,0,LAGOS,LOS
LALS,ES,LASPALMAS,M,0,LAS PALMAS,LPA
LPAZ,BO,LAPAZ,A,0,LA PAZ,LPB
MPIG,CN,MOUPING,M,0,MOUPING,LPG
LPAA,LV,LIEPAJA,M,0,LIEPAJA,LPX
LQUN,CL,LIRQUEN,M,0,LIRQUEN,LQN
LSHN,CN,LUSHUN,M,0,LUSHUN,LSH
LNSI,CN,LANSHI,M,0,LANSHI,LSI
LTOA,FJ,LAUTOKA,M,0,LAUTOKA,LTK
LAKA,SY,LATAKIA,M,0,LATAKIA,LTK
LTIA,IT,LATINA,M,0,LATINA,LTN
LGSN,DE,LUDWIGSHAFEN,M,0,LUDWIGSHAFEN,LUH
LSAA,ZM,LUSAKA,A,0,LUSAKA,LUN
LGSE,ZM,LIVINGSTONE,M,0,LIVINGSTONE,LVI
LYAG,CN,LUOYANG,M,0,LUO YANG,LYA
LYAG1,CN,LAIYANG,M,0,LAIYANG,LYD
LUNG,CN,LIANYUNGANG,M,0,LIANYUNGANG,LYG
LNYI,CN,LINYI,M,0,LINYI,LYI
FALD,PK,FAISALABAD,M,0,FAISALABAD,LYP
LTOT,FR,LYON-SATOLASAPT,A,0,LYON-SATOLAS APT,LYS
LELN,NZ,LYTTELTON,M,0,LYTTELTON,LYT
LZHU2,CN,LIUZHOU,M,0,LIUZHOU,LZH
MNSN,CN,MAANSHAN,M,0,MAANSHAN,MAA
CNNI,IN,CHENNAI,M,0,CHENNAI,MAA
MDRD,ES,MADRID,A,0,MADRID,MAD
MEBG,DE,MAGDEBURG,M,0,MAGDEBURG,MAG
MDAG,PG,MADANG,M,0,MADANG,MAG
MMEA,ES,MAHONMENORCA,M,0,MAHON MENORCA,MAH
MINZ,DE,MAINZ,M,0,MAINZ,MAI
MZUU,JP,MAIZURU,M,0,MAIZURU,MAI
MJUO,MH,MAJURO,M,0,MAJURO,MAJ
MTOA,IT,MANTOVA,M,0,MANTOVA,MAN
MCAO,VE,MARACAIBO,M,0,MARACAIBO,MAR
MSAA,SZ,MATSAPHA,M,0,MATSAPHA,MAT
MWEI,CN,MAWEI,M,0,MAWEI,MAW
MAHE,SC,MAHE,M,0,MAHE,MAW
MBAA,KE,MOMBASA,M,0,MOMBASA,MBA
MBAE,PH,MASBATE,M,0,MASBATE,MBT
MIBR,SI,MARIBOR,M,0,MARIBOR,MBX
MERA,IT,MACERATA,M,0,MACERATA,MCA
MELN,CO,MEDELLIN,A,0,MEDELLIN,MDE
MDOA,AR,MENDOZA,M,0,MENDOZA,MDZ
MOUE,AU,MELBOURNE,A,0,MELBOURNE,MEL
MHIN,US,MEMPHISTN,M,0,MEMPHIS TN,MEM
MRSN,TR,MERSIN,M,0,MERSIN,MER
MXIO,MX,MEXICO,A,0,MEXICO,MEX
MCOY,MX,MEXICOCITY,M,0,MEXICO CITY,MEX
MAGA,NI,MANAGUA,A,0,MANAGUA,MGA
MNHM,DE,MANNHEIM,M,0,MANNHEIM,MHG
MAMI,US,MIAMI,A,0,MIAMI,MIA
MMIL,US,MIAMIFL,M,0,MIAMI FL,MIA
MLAN,IT,MILAN,A,0,MILAN,MIL
MDEO,CV,MINDELO,M,0,MINDELO,MIN
MANO,PA,MANZANILLO,M,0,MANZANILLO,MIT
MYUN,CN,MIYUN,M,0,MIYUN,MIY
MRCA,ES,MURCIA,M,0,MURCIA,MJV
KCIO,US,"KANSASCITY,MO",M,0,"Kansas City , MO",MKC
MALE,MV,MALE,M,0,MALE,MLE
MILA,ES,MELILLA,M,0,MELILLA,MLN
MROA,LR,MONROVIA,M,0,MONROVIA,MLW
MMIG,CN,MAOMING,M,0,MAOMING,MMI
MHEM,DE,MÜLHEIM,M,0,MÜLHEIM,MMO
MHER,GB,MANCHESTER,M,0,MANCHESTER,MNC
NCAA,MZ,NACALA,M,0,NACALA,MNC
MNIA,PH,MANILA,M,0,MANILA,MNL
MDEA,IT,MODENA,M,0,MODENA,MOD
MERS,DE,MOERS,M,0,MOERS,MOS
MELR,FR,MONTPELLIER,A,0,MONTPELLIER,MPL
MPUO,MZ,MAPUTO,M,0,MAPUTO,MPM
MSEA,FR,MARSELLA,A,0,MARSELLA,MRS
MEIE,FR,MARSEILLE,M,0,MARSEILLE,MRS
MSIA,IT,MESSINA,M,0,MESSINA,MSN
MNSK,BY,MINSK,M,0,MINSK,MSQ
MSEU,LS,MASERU,M,0,MASERU,MSU
NLEA,US,NEWORLEANSLA,M,0,NEW ORLEANS LA,MSY
MTRL,CA,MONTREAL,M,0,MONTREAL,MTR
MTEA,IT,MATERA,M,0,MATERA,MTR
MZII,SZ,MANZINI,M,0,MANZINI,MTS
MERY,MX,MONTERREY,A,0,MONTERREY,MTY
MARA,BN,MUARA,M,0,MUARA,MUA
MNIH,DE,MUNICH,A,0,MUNICH,MUC
MUGA,EE,MUUGA,M,0,MUUGA,MUG
MNDA,IN,MUNDRA,M,0,MUNDRA,MUN
MTHO,VN,MYTHO,M,0,MY THO,MUT
MLTN,PK,MULTAN,M,0,MULTAN,MUX
MEVO,UY,MONTEVIDEO,M,0,MONTEVIDEO,MVD
MPEA,IT,MALPENSA,A,0,MALPENSA,MXP
MUYA,JP,MATSUYAMA,M,0,MATSUYAMA,MYJ
NNHI,CN,NANHAI,M,0,NANHAI,NAH
NOKA,JP,NAHA/OKINAWA,M,0,NAHA / OKINAWA,NAH
NBOE,FR,NARBONNE,M,0,NARBONNE,NAR
NROI,KE,NAIROBI,M,0,NAIROBI,NBO
NICE,FR,NICE,A,0,NICE,NCE
QIHR,CN,QIQIHAR,M,0,QIQIHAR,NDG
NNGO,CN,NINGBO,A,0,NINGBO,NGB
NGAG,CN,NANGANG,M,0,NANGANG,NGG
NASI,JP,NAGASAKI,M,0,NAGASAKI,NGS
"NA,A",JP,"NAGOYA,OITA",M,0,"NAGOYA, OITA",NGY
NTRG,VN,NHATRANG,M,0,NHA TRANG,NHA
NNGE,CN,NINGHE,M,0,NINGHE,NHE
NNHI1,CN,NANHUI,M,0,NANHUI,NHI
NOSA,CY,NICOSIA,M,0,NICOSIA,NIC
NAMY,NE,NIAMEY,M,0,NIAMEY,NIM
NGHI,CN,NINGHAI,M,0,NINGHAI,NIN
NJIG,CN,NANJING,M,0,NANJING,NKG
NOLA,ZM,NDOLA,M,0,NDOLA,NLA
NDIH,VN,NAMDINH,M,0,NAM DINH,NMD
NNIG,CN,NANNING,M,0,NANNING,NNG
NUMA,NC,NOUMEA,M,0,NOUMEA,NOU
NPIR,NZ,NAPIER,M,0,NAPIER,NPE
NYMH,NZ,NEWPLYMOUTH,M,0,NEW PLYMOUTH,NPL
NPIG,CN,NANPING,M,0,NANPING,NPS
NPTO,JP,NARITAAPT/TOKYO,A,0,NARITA APT/TOKYO,NRT
NNSA,CN,NANSHA,M,0,NANSHA,NSA
NASA,IN,NHAVASHEVA,M,0,NHAVA SHEVA,NSA
NLSN,NZ,NELSON,M,0,NELSON,NSN
NUSS,DE,NEUSS,M,0,NEUSS,NSS
NTOG,CN,NANTONG,M,0,NANTONG,NTG
NNBG,DE,NÜRNBERG,M,0,NÜRNBERG,NUE
NAIA,EG,NUWAIBA,M,0,NUWAIBA,NUW
NVAA,IT,NOVARA,M,0,NOVARA,NVR
NOJA,MX,NAVOJOA,M,0,NAVOJOA,NVS
NGAS,BR,NAVEGANTES,M,0,NAVEGANTES,NVT
NYOK,US,NEWYORK,A,0,NEW YORK,NYC
NYAG,CN,NANYANG,M,0,NANYANG,NYG
NSSU,US,NASSAU,M,0,NASSAU,NYU
OANA,US,"OAKLAND,CA",M,0,"OAKLAND, CA",OAK
OEGN,MX,OBREGON,M,0,OBREGON,OBR
CDOA1,ES,CORDOBA,M,0,CORDOBA,ODB
OENE,DK,ODENSE,M,0,ODENSE,ODE
OESA,UA,ODESSA,M,0,ODESSA,ODS
ONBH,DE,OFFENBACH,M,0,OFFENBACH,OFF
OHAN,DE,OBERHAUSEN,M,0,OBERHAUSEN,OHS
OITA,JP,OITA,M,0,OITA,OIT
ONBG,DE,OLDENBURG,M,0,OLDENBURG,OLO
OULU,FI,OULU,M,0,OULU,OLU
COMO1,IT,COMO,M,0,COMO,OMO
CLON1,PA,COLON,M,0,COLON,ONX
PRTO,PT,PORTO,A,0,PORTO,OPO
OORO,PT,OPORTO,M,0,OPORTO,OPO
CCAO,US,CHICAGO,A,0,CHICAGO,ORD
OENE1,ES,ORENSE,M,0,ORENSE,ORE
NOLA1,US,NORFOLKVA,M,0,NORFOLK VA,ORF
CORK,IE,CORK,M,0,CORK,ORK
ONDL,US,"ORLANDO,FL",M,0,"ORLANDO, FL",ORL
ORAN,DZ,ORAN,M,0,ORAN,ORN
OAKA,JP,OSAKA,M,0,OSAKA,OSA
OSLO,NO,OSLO,M,0,OSLO,OSL
OBRK,DE,OSNABRÜCK,M,0,OSNABRÜCK,OSN
B-OT,RO,BUCURESTI-OTOPENIAPT,A,0,BUCURESTI-OTOPENI APT,OTP
ODOU,BF,OUAGADOUGOU,M,0,OUAGADOUGOU,OUA
OIEO,ES,OVIEDO,M,0,OVIEDO,OVO
BSSU,GW,BISSAU,M,0,BISSAU,OXB
PENA,ES,PALENCIA,M,0,PALENCIA,PAC
PITA,PE,PAITA,M,1,PAITA,PAI
PBOG,DK,PADBORG,M,0,PADBORG,PAO
PRIS,FR,PARIS,M,0,PARIS,PAR
PVIA,IT,PAVIA,M,0,PAVIA,PAV
PEBA,MX,PUEBLA,M,0,PUEBLA,PBC
PCAO,VE,PUERTOCABELLO,M,0,PUERTO CABELLO,PBL
PMAO,SR,PARAMARIBO,M,0,PARAMARIBO,PBM
PBAS,GT,PUERTOBARRIOS,M,0,PUERTO BARRIOS,PBR
POCS,HN,PUERTOCORTES,M,0,PUERTO CORTES,PCR
PCEA,IT,PIACENZA,M,0,PIACENZA,PCZ
PDOA,IT,PADOVA,M,0,PADOVA,PDA
PDAG,ID,PADANG,M,0,PADANG,PDG
PNGU,CN,PINGDU,M,0,PING DU,PDU
PTLD,US,PORTLAND,M,0,PORTLAND,PDX
PCEM,BR,PECEM,M,0,PECEM,PEC
PERS,US,PORTEVERGLADES,M,0,PORT EVERGLADES,PEF
PUGA,IT,PERUGIA,M,0,PERUGIA,PEG
PNAG,MY,PENANG,M,0,PENANG,PEN
PRTH,AU,PERTH,M,0,PERTH,PER
PAWG,ID,PERAWANG,M,0,PERAWANG,PER
PSAO,IT,PESARO,M,0,PESARO,PES
PEVA,ES,PONTEVEDRA,M,0,PONTEVEDRA,PEV
PHAR,PK,PESHAWAR,M,0,PESHAWAR,PEW
PPHS,CY,PAPHOS,M,0,PAPHOS,PFO
PIGN,FR,PERPIGNAN,M,0,PERPIGNAN,PGF
PANR,MY,"PASIRGUDANG,JOHOR",M,0,"PASIR GUDANG, JOHOR",PGU
PDEA,US,PHILADELPHIA,M,0,PHILADELPHIA,PHL
PXIG,CN,PINGXIANG,M,0,PINGXIANG,PIN
PAES,GR,PIRAEUS,M,0,PIRAEUS,PIR
PNJN,CN,PANJIN,M,0,PANJIN,PJI
PKEG,MY,PORTKELANG,M,0,PORT KELANG,PKG
PGLI,CN,PENGLAI,M,0,PENG LAI,PLA
PLOS,MU,PORTLOUIS,M,0,PORT LOUIS,PLU
PIZH,ZA,PORTELIZABETH,M,0,PORT ELIZABETH,PLZ
PRMA,IT,PARMA,M,0,PARMA,PMF
PALA,ES,PALMAMALLORCA,A,0,PALMA MALLORCA,PMI
PMAA,ES,PALMADEMALLORCA,M,0,PALMA DE MALLORCA,PMI
PERO,IT,PALERMO,M,0,PALERMO,PMO
PTOH,NZ,PALMERSTONNORTH,M,0,PALMERSTON NORTH,PMR
PPLA,ES,PAMPLONA,M,0,PAMPLONA,PNA
PNAA,BR,PARANAGUA,M,0,PARANAGUA,PNG
PMPH,KH,PHNOMPENH,M,0,PHNOM PENH,PNH
PENE,CG,POINTENOIRE,M,0,POINTE NOIRE,PNR
PCHY,IN,PONDICHERRY,M,0,PONDICHERRY,PNY
PALE,BR,PORTOALEGRE,M,0,PORTO ALEGRE,POA
PHAS,NZ,PORTCHALMERS,M,0,PORT CHALMERS,POE
POR*,PG,PORTMORESBY*,M,0,PORT MORESBY*,POM
PORG,FI,PORI/BJORNEBORG,M,0,PORI/ BJORNEBORG,POR
POEA,TT,PUERTOESPAÑA,M,0,PUERTO ESPAÑA,POS
PSDM,DE,POTSDAM,M,0,POTSDAM,POT
PZNN,PL,POZNAN,M,0,POZNAN,POZ
POPO,AS,PAGOPAGO,M,0,PAGO PAGO,PPG
PEEE,PF,PAPEETE,M,0,PAPEETE,PPT
PENE1,IT,PORDENONE,M,0,PORDENONE,PRD
PAGE,CZ,PRAGUE,M,0,PRAGUE,PRG
PQUL,GT,PUERTOQUETZAL,M,0,PUERTO QUETZAL,PRQ
PISA,IT,PISA,M,0,PISA,PSA
PTSD,EG,PORTSAID,M,0,PORT SAID,PSD
PCAA,IT,PESCARA,M,0,PESCARA,PSR
PCAA1,CR,PUERTOCALDERA,M,0,PUERTO CALDERA,PTC
PHTA,IL,PETAHTIQWA,M,0,PETAH TIQWA,PTQ
PTLS,TT,POINTLISAS,M,0,POINT LISAS,PTS
PMAY,PA,PANAMACITY,A,0,PANAMA CITY,PTY
PARS,CL,PUNTAARENAS,M,0,PUNTA ARENAS,PUQ
BSAN,KR,BUSAN,M,0,BUSAN,PUS
PTIN,CN,PUTIAN,M,0,PUTIAN,PUT
PNYU,CN,PANYU,M,0,PANYU,PYU
PSUN,SD,PORTSUDAN,M,0,PORT SUDAN,PZU
CENA1,IT,COSENZA,M,0,COSENZA,QCS
CNZO,IT,CATANZARO,M,0,CATANZARO,QCZ
QGXN,CN,QINGXIAN,M,0,QINGXIAN,QIX
MBAE1,SZ,MBABANE,M,0,MBABANE,QMN
NORO,IT,NUORO,M,0,NUORO,QNU
QNGU,CN,QINGPU,M,0,QINGPU,QPU
QETO,MX,QUERETARO,M,0,QUERETARO,QRO
QUFU,CN,QUFU,M,0,QU FU,QUF
QZHU,CN,QUZHOU,M,0,QUZHOU,QUZ
RDES,DK,RANDERS,M,0,RANDERS,RAN
RENA,IT,RAVENNA,M,0,RAVENNA,RAN
RTOA,CK,RAROTONGA,M,0,RAROTONGA,RAR
RUMA,FI,RAUMA,M,0,RAUMA,RAU
RCIE,BR,RECIFE,A,0,RECIFE,REC
RNGN,DE,RECKLINGHAUSEN,M,0,RECKLINGHAUSEN,REC
RCHD,DE,REMSCHEID,M,0,REMSCHEID,RED
RNSG,DE,REGENSBURG,M,0,REGENSBURG,REG
RCAA,IT,REGGIOCALABRIA,M,0,REGGIO CALABRIA,REG
ROVT,IL,REHOVOT,M,0,REHOVOT,REH
RJAK,IS,REYKJAVIK,M,0,REYKJAVIK,REY
RJAO1,BR,RIODEJANEIRO,A,0,RIO DE JANEIRO,RIO
RIGA,LV,RIGA,M,0,RIGA,RIX
RLEN,IL,RISHONLETSIYON,M,0,RISHON LETSIYON,RLZ
RMII,IT,RIMINI,M,0,RIMINI,RMI
RCHG,CN,RONGCHENG,M,0,RONGCHENG,RNG
RNGI,CN,RONGQI,M,0,RONGQI,ROQ
KROR,PW,KOROR,M,0,KOROR,ROR
RORA,NZ,ROTORUA,M,0,ROTORUA,ROT
RSHN,CN,RUSHAN,M,0,RUSHAN,RSH
RTOK,DE,ROSTOCK,M,0,ROSTOCK,RSK
RERM,NL,ROTTERDAM,M,0,ROTTERDAM,RTM
RGAO,CN,RUGAO,M,0,RUGAO,RUG
RNII,FI,ROVANIEMI,M,0,ROVANIEMI,RVN
RVIO,IT,ROVIGO,M,0,ROVIGO,RVO
RLPI,PK,RAWALPINDI,M,0,RAWALPINDI,RWP
RZHO,CN,RIZHAO,M,0,RI ZHAO,RZH
SGCG,CN,SHUANGCHENG,M,0,SHUANGCHENG,SAC
STCY,EG,SADATCITY,M,0,SADAT CITY,SAD
SEFD,NO,SANDEFJORD,M,0,SANDEFJORD,SAD
SNTO,CL,SANANTONIO,M,0,SAN ANTONIO ,SAI
SERO,IT,SALERNO,M,0,SALERNO,SAL
SLVR,SV,SANSALVADOR,A,0,SAN SALVADOR,SAL
SAMA,CV,SANTAMARIA,M,0,SANTA MARIA,SAM
SIEA,US,SANDIEGOCA,M,0,SAN DIEGO CA,SAN
SNTO1,VU,SANTO,M,0,SANTO,SAN
SDRA,HN,SANPEDROSULA,M,0,SAN PEDRO SULA,SAP
SGIR,DE,SALZGITTER,M,0,SALZGITTER,SAR
SDNS,NO,SANDNES,M,0,SANDNES,SAS
SNTO2,US,SANANTONIO,M,0,SAN ANTONIO,SAT
SNAA,US,"SAVANNAH,GA",M,0,"Savannah, GA",SAV
SNBU,CN,SANBU,M,0,SANBU,SBU
STIO,CL,SANTIAGO,A,0,SANTIAGO,SCL
SODE,CL,SANTIAGODECHILE,M,0,SANTIAGO DE CHILE,SCL
SIDG,CN,SHUIDONG,M,0,SHUIDONG,SDG
SDOO,DO,SANTODOMINGO,A,0,SANTO DOMINGO,SDQ
SANR,ES,SANTANDER,M,0,SANTANDER,SDR
SOVA,ES,SEGOVIA,M,0,SEGOVIA,SEG
SOUL,KR,SEOUL,M,0,SEOUL,SEL
SFAX,TN,SFAX,M,0,SFAX,SFA
SANO,US,SANFRANCISCO,A,0,SAN FRANCISCO,SFO
SISL,BR,SAOFRANCISCODOSUL,M,0,SAO FRANCISCO DO SUL,SFS
HINY,VN,HOCHIMINHCITY,M,0,HO CHI MINH CITY,SGN
SNGU,CN,SHANGYU,M,0,SHANGYU,SGU
SNGI,CN,SHANGHAI,A,0,SHANGHAI,SHA
SIDO,CN,SHIDAO,M,0,SHIDAO,SHD
SNYG,CN,SHENYANG,M,0,SHENYANG,SHE
SAIN,CN,SHANHAIGUAN,M,0,SHANHAIGUAN,SHH
SRJH,AE,SHARJAH,M,0,SHARJAH,SHJ
SEKU,CN,SHEKOU,M,0,SHEKOU,SHK
SNOI,JP,SHIMONOSEKI,M,0,SHIMONOSEKI,SHS
SNES,PT,SINES,M,0,SINES,SIE
SHUI,CN,SIHUI,M,0,SIHUI,SIH
SAPE,SG,SINGAPORE,A,0,SINGAPORE,SIN
SACA,IT,SIRACUSA,M,0,SIRACUSA,SIR
SEDO,MX,SANJOSEDECABO,A,0,SAN JOSE DE CABO,SJD
SJOE,CR,SANJOSE,A,0,SAN JOSE,SJO
SJUN,PR,SANJUAN,M,0,SAN JUAN,SJU
TALI,GR,THESSALONIKI,M,0,THESSALONIKI,SKG
SIKU,CN,SHUIKOU,M,0,SHUIKOU,SKO
SKAA,JP,SAKATA,M,0,SAKATA,SKT
SLKT,PK,SIALKOT,M,0,SIALKOT,SKT
SAKY,US,SALTLAKECITY,A,0,SALT LAKE CITY,SLC
SMAA,ES,SALAMANCA,M,0,SALAMANCA,SLM
SSPI,MX,SANLUISPOTOSI,M,0,SAN LUIS POTOSI,SLP
SMIO,JP,SAKAIMINATO,M,0,SAKAIMINATO,SMN
SMIU,JP,SHIMIZU,M,0,SHIMIZU,SMZ
SDRO,IT,SONDRIO,M,0,SONDRIO,SND
SNSU,CN,SANSHU,M,0,SANSHU,SNU
6CTR,EG,6THOCTOBER,M,0,6TH OCTOBER,SOC
SFIA,BG,SOFIA,M,0,SOFIA,SOF
SINN,DE,SOLINGEN,M,0,SOLINGEN,SOL
SRIA,ES,SORIA,M,0,SORIA,SOR
SAMN,GB,SOUTHAMPTON,M,0,SOUTHAMPTON,SOU
LPEA,IT,LASPEZIA,M,0,LA SPEZIA,SPE
SPIG,CN,SIPING,M,0,SIPING,SPG
SIPN,MP,SAIPAN,M,0,SAIPAN,SPN
SPEO,US,SANPEDRO,M,0,SAN PEDRO,SPQ
SACZ,BO,SANTACRUZ,M,0,SANTA CRUZ,SRZ
SVAR,BR,SALVADOR,M,0,SALVADOR,SSA
NILR,GE,NOUTILIZAR,M,0,NO UTILIZAR,SSG
MLAO,GQ,MALABO,M,0,MALABO,SSG
SNTS,BR,SANTOS,M,0,SANTOS,SSZ
SKHM,SE,STOCKHOLM,M,0,STOCKHOLM,STO
STGT,DE,STUTTGART,M,0,STUTTGART,STR
SOTS,GT,SANTOTOMAS,M,0,SANTO TOMAS,STZ
SABA,ID,SURABAYA,M,0,SURABAYA,SUB
SUNE,CN,SHUNDE,M,0,SHUNDE,SUD
SUNI,CN,SHUNYI,M,0,SHUNYI,SUN
SUSE,TN,SOUSSE,M,0,SOUSSE,SUS
SUVA,FJ,SUVA,M,0,SUVA,SUV
SZBH,DE,SULZBACH,M,0,SULZBACH,SUZ
SICE,CL,SANVICENTE,M,0,SAN VICENTE,SVE
SANR1,NO,STAVANGER,M,0,STAVANGER,SVG
SVOW,RU,SHEREMETYEVOAPT/MOSCOW,A,0,SHEREMETYEVO APT/MOSCOW,SVO
SILA,ES,SEVILLA,M,0,SEVILLA,SVQ
SNTU,CN,SHANTOU,M,0,SHANTOU,SWA
SWEN,DE,SCHWERIN,M,0,SCHWERIN,SWR
SSBG,FR,STRASBOURG,M,0,STRASBOURG,SXB
SDNY,AU,SYDNEY,M,0,SYDNEY,SYD
SIYN,CN,SHIYAN,M,0,SHIYAN,SYN
SZBG,AT,SALZBURG,M,0,SALZBURG,SZG
SZHU,CN,SUZHOU,M,0,SUZHOU,SZH
SNZN,CN,SHENZHEN,A,0,SHENZHEN,SZX
SZEN,PL,SZCZECIN,M,0,SZCZECIN,SZZ
TASN,US,"TACOMA,WASHINGTON",M,0,"TACOMA, WASHINGTON",TAC
TCAG,CN,TAICANG,M,0,TAICANG,TAG
TMAU,JP,TAKAMATSU,M,0,TAKAMATSU,TAK
TAHO,CL,TALCAHUANO,M,0,TALCAHUANO,TAL
QGDO,CN,QINGDAO,M,0,QINGDAO,TAO
TPIG,CN,TAIPING,M,0,TAIPING,TAP
TAGA,ES,TARRAGONA,M,0,TARRAGONA,TAR
TANO,IT,TARANTO,M,0,TARANTO,TAR
TRTU,EE,TARTU,M,0,TARTU,TAY
NALA,TO,NUKUALOFA,M,0,NUKUALOFA,TBU
TEMA,GH,TEMA,M,0,TEMA,TEM
TRAO,IT,TERAMO,M,0,TERAMO,TEO
TRUL,ES,TERUEL,M,0,TERUEL,TER
TRNI,IT,TERNI,M,0,TERNI,TER
SARG,ID,SEMARANG,M,0,SEMARANG,TES
TGHA,CN,TONGHUA,M,0,TONGHUA,TGH
TIGA,HN,TEGUCIGALPA,A,0,TEGUCIGALPA,TGU
TNHA,VN,THANHHOA,M,0,THANH HOA,THO
TEST,GB,THAMESPORT,M,0,THAMESPORT,THP
THAI,JP,TOYOHASHI,M,0,TOYOHASHI,THS
TRAA,AL,TIRANA,M,0,TIRANA,TIA
TNTI,CN,TIANTAI,M,0,TIANTAI,TIA
TLIG,CN,TIELING,M,0,TIELING,TIL
TBUY,GB,TILBURY,M,0,TILBURY,TIL
TPOI,LY,TRIPOLI,M,0,TRIPOLI,TIP
TMAU1,NZ,TIMARU,M,0,TIMARU,TIU
TZHU,CN,TAIZHOU,M,0,TAIZHOU,TIZ
TSHA,JP,TOKUSHIMA,M,0,TOKUSHIMA,TKS
TBUG,NL,TILBURG,M,0,TILBURG,TLB
TLIN,EE,TALLINN,M,0,TALLINN,TLL
TMCN,DZ,TLEMCEN,M,0,TLEMCEN,TLM
TLOE,FR,TOULOUSE,A,0,TOULOUSE,TLS
TAVV,IL,TELAVIV,M,0,TEL AVIV,TLV
TYUN,CN,TAIYUAN,M,0,TAIYUAN,TMH
TKOI,JP,TOMAKOMAI,M,0,TOMAKOMAI,TMK
TULS,MX,TAMAULIPAS,M,0,TAMAULIPAS,TMP
JNAN,CN,JINAN,M,0,JINAN,TNA
TLEO,ES,TOLEDO,M,0,TOLEDO,TOL
TNGU,CN,TONGLU,M,0,TONGLU,TON
TONO,CA,TORONTO,M,0,TORONTO,TOR
TASO,JP,TOYAMASHINKO,M,0,TOYAMASHINKO,TOS
TYAA,JP,TOYAMA,M,0,TOYAMA,TOY
TIPI,TW,TAIPEI,A,0,TAIPEI,TPE
1AMN,EG,10THRAMADAN,M,0,10TH RAMADAN,TRC
TDHM,NO,TRONDHEIM,M,0,TRONDHEIM,TRD
TRUA,JP,TSURUGA,M,0,TSURUGA,TRG
TRAA1,NZ,TAURANGA,M,0,TAURANGA,TRG
TRIO,IT,TORINO,M,0,TORINO,TRN
TESE,IT,TRIESTE,M,0,TRIESTE,TRS
TENO,IT,TRENTO,M,0,TRENTO,TRT
TVIO,IT,TREVISO,M,0,TREVISO,TRV
TRAA2,KI,TARAWA,M,0,TARAWA,TRW
TNJN,CN,TIANJIN,A,0,TIANJIN,TSN
TNIS,TN,TUNIS,M,0,TUNIS,TUN
TEW),IN,TUTICORIN(NEWTUTICORIN),M,0,TUTICORIN (NEW TUTICORIN),TUT
TCHG,TW,TAICHUNG,M,0,TAICHUNG,TXG
BN-L,DE,BERLIN-TEGEL,A,0,BERLIN - TEGEL,TXL
TXIG,CN,TONGXIANG,M,0,TONGXIANG,TXZ
TYUN1,CN,TAOYUAN,M,0,TAOYUAN,TYN
TKYO,JP,TOKYO,M,0,TOKYO,TYO
UINE,IT,UDINE,M,0,UDINE,UDN
QNHN,VN,QUINHON,M,0,QUI NHON,UIH
QITO,EC,QUITO,A,0,QUITO,UIO
KOBE,JP,KOBE,M,0,KOBE,UKB
ULMX,DE,ULM,M,0,ULM,ULM
TALY,AI,THEVALLEY,M,0,THE VALLEY,VAL
VOUR,CA,VANCOUVER,M,0,VANCOUVER,VAN
VARO,CL,VALPARAISO,M,0,VALPARAISO,VAP
VRNA,BG,VARNA,M,0,VARNA,VAR
VREE,IT,VARESE,M,0,VARESE,VAR
CNTO,VN,CANTHO,M,0,CAN THO,VCA
VCOS,BR,VIRACOPOS,A,0,VIRACOPOS,VCP
VLIE,IT,VADOLIGURE,M,0,VADO LIGURE,VDL
VACZ,MX,VERACRUZ,M,0,VERACRUZ,VER
VIGO,ES,VIGO,M,0,VIGO,VGO
VENA,IT,VICENZA,M,0,VICENZA,VIC
VENA1,AU,VIENA,M,0,VIENA,VIE
VERO,IT,VITERBO,M,0,VITERBO,VIT
VENA2,ES,VALENCIA,A,0,VALENCIA,VLC
PTVA,VU,PORTVILA,M,0,PORT VILA,VLI
